event.week,event.year,location.point
20,"2,023","41.65618,2.41598000000001"
20,"2,023","52.67084,0.181209999999989"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","52.67086,0.181200000000001"
20,"2,023","53.16853,5.76394000000001"
20,"2,023","39.74741,19.85355"
20,"2,023","40.81276,29.86616"
20,"2,023","40.81963,29.86691"
20,"2,023","40.79398,29.92774"
20,"2,023","40.79406,29.92782"
20,"2,023","40.8225,29.86371"
20,"2,023","40.82782,29.87199"
20,"2,023","40.81275,29.86616"
20,"2,023","40.81276,29.86616"
20,"2,023","40.81962,29.86691"
20,"2,023","40.82232,29.86362"
20,"2,023","39.74665,19.86594"
20,"2,023","53.15998,6.68343"
20,"2,023","39.74666,19.86597"
19,"2,023","39.51344,19.86558"
19,"2,023","39.47698,19.88609"
19,"2,023","39.47573,19.92035"
19,"2,023","38.77295,-4.82570999999999"
19,"2,023","39.75494,19.94651"
19,"2,023","39.7549,19.94465"
19,"2,023","38.23,-3.48829"
19,"2,023","38.23,-3.48829"
19,"2,023","38.23,-3.48829"
19,"2,023","39.49232,19.85277"
19,"2,023","38.27578,-3.67110999999999"
19,"2,023","35.34755,33.15052"
19,"2,023","35.34752,33.15019"
19,"2,023","43.93381,7.65987000000001"
19,"2,023","35.92315,139.64274"
19,"2,023","39.49233,19.85277"
19,"2,023","39.75509,19.9432000000001"
19,"2,023","39.51345,19.86558"
19,"2,023","39.46928,19.91246"
19,"2,023","39.58965,19.90195"
19,"2,023","35.34755,33.15052"
19,"2,023","36.23581,28.14981"
19,"2,023","36.23581,28.14981"
19,"2,023","35.1579,33.34041"
19,"2,023","39.14137,2.94417"
19,"2,023","40.15066,-6.75409"
19,"2,023","39.13381,2.94845"
19,"2,023","51.55796,4.93632"
19,"2,023","36.30835,28.00295"
19,"2,023","36.40949,28.11132"
19,"2,023","36.41551,28.11223"
19,"2,023","55.31968,21.30432"
19,"2,023","41.96427,-6.38417000000001"
19,"2,023","36.27346,28.02661"
19,"2,023","36.16842,27.97228"
19,"2,023","36.27364,28.02658"
19,"2,023","42.44559,-8.64589"
19,"2,023","36.28238,28.00953"
19,"2,023","37.07524,-8.81151"
19,"2,023","38.974,-1.861"
19,"2,023","35.8315,139.36526"
19,"2,023","39.44128,19.90082"
19,"2,023","36.21607,28.10136"
19,"2,023","39.5221,19.85164"
19,"2,023","36.21624,28.10011"
19,"2,023","34.78487,32.40131"
19,"2,023","39.52257,19.85124"
19,"2,023","43.279,11.836"
19,"2,023","39.47847,19.88498"
19,"2,023","41.49369,-2.43009"
19,"2,023","38.973,-1.86000000000001"
19,"2,023","38.974,-1.86000000000001"
19,"2,023","39.44117,19.90093"
19,"2,023","41.59146,-2.47421000000001"
19,"2,023","40.39941,40.75975"
19,"2,023","40.39941,40.75975"
19,"2,023","36.17626,27.86871"
19,"2,023","36.22039,27.90304"
19,"2,023","36.22038,27.90304"
19,"2,023","36.16729,27.84898"
19,"2,023","36.16643,27.84838"
19,"2,023","36.16644,27.8483699999999"
19,"2,023","36.16644,27.8483699999999"
19,"2,023","36.16517,27.84755"
19,"2,023","36.17101,27.85087"
19,"2,023","36.17094,27.8507500000001"
19,"2,023","36.17108,27.84921"
19,"2,023","36.17104,27.84914"
19,"2,023","36.17104,27.84914"
19,"2,023","36.17107,27.84977"
19,"2,023","36.17104,27.85032"
19,"2,023","36.17089,27.85098"
19,"2,023","36.17075,27.85122"
19,"2,023","36.17987,27.87329"
19,"2,023","36.18153,27.87173"
19,"2,023","36.17987,27.87329"
19,"2,023","36.18069,27.87304"
19,"2,023","36.1811,27.87246"
19,"2,023","36.18069,27.87304"
19,"2,023","36.1804499999999,27.87334"
19,"2,023","36.18017,27.87359"
19,"2,023","36.23337,27.88952"
19,"2,023","36.24999,27.88795"
19,"2,023","36.25026,27.88796"
19,"2,023","36.25065,27.88728"
19,"2,023","36.25065,27.88728"
19,"2,023","36.24963,27.88781"
19,"2,023","36.23474,27.88752"
19,"2,023","36.20198,27.89875"
19,"2,023","36.23431,27.88775"
19,"2,023","36.28426,27.93988"
19,"2,023","36.28449,27.93786"
19,"2,023","36.28398,27.93772"
