gr,richness,caption,colour,shape,opacity,size
NT37A,966,Number of taxa: 966,#B7AD13,circle,0.9,0.9
NT40A,573,Number of taxa: 573,#BCC812,circle,0.9,0.9
NT41A,802,Number of taxa: 802,#B7AD13,circle,0.9,0.9
NT42A,907,Number of taxa: 907,#B7AD13,circle,0.9,0.9
NT43A,930,Number of taxa: 930,#B7AD13,circle,0.9,0.9
NT46A,798,Number of taxa: 798,#B7AD13,circle,0.9,0.9
NT47A,936,Number of taxa: 936,#B7AD13,circle,0.9,0.9
NT50A,635,Number of taxa: 635,#BCC812,circle,0.9,0.9
NT51A,987,Number of taxa: 987,#B7AD13,circle,0.9,0.9
NT52A,789,Number of taxa: 789,#B7AD13,circle,0.9,0.9
NT53A,1231,Number of taxa: 1231,#B29215,circle,0.9,0.9
NT54A,718,Number of taxa: 718,#BCC812,circle,0.9,0.9
NT55A,537,Number of taxa: 537,#BCC812,circle,0.9,0.9
NT57A,866,Number of taxa: 866,#B7AD13,circle,0.9,0.9
NT61A,653,Number of taxa: 653,#BCC812,circle,0.9,0.9
NT62A,762,Number of taxa: 762,#B7AD13,circle,0.9,0.9
NT63A,842,Number of taxa: 842,#B7AD13,circle,0.9,0.9
NT64A,730,Number of taxa: 730,#BCC812,circle,0.9,0.9
NT65A,593,Number of taxa: 593,#BCC812,circle,0.9,0.9
NT67A,995,Number of taxa: 995,#B7AD13,circle,0.9,0.9
NT72A,654,Number of taxa: 654,#BCC812,circle,0.9,0.9
NT73A,990,Number of taxa: 990,#B7AD13,circle,0.9,0.9
NT74A,740,Number of taxa: 740,#BCC812,circle,0.9,0.9
NT75A,856,Number of taxa: 856,#B7AD13,circle,0.9,0.9
NT76A,691,Number of taxa: 691,#BCC812,circle,0.9,0.9
NT77A,909,Number of taxa: 909,#B7AD13,circle,0.9,0.9
NT82A,778,Number of taxa: 778,#B7AD13,circle,0.9,0.9
NT83A,856,Number of taxa: 856,#B7AD13,circle,0.9,0.9
NT84A,843,Number of taxa: 843,#B7AD13,circle,0.9,0.9
NT85A,841,Number of taxa: 841,#B7AD13,circle,0.9,0.9
NT90A,742,Number of taxa: 742,#BCC812,circle,0.9,0.9
NT92A,794,Number of taxa: 794,#B7AD13,circle,0.9,0.9
NT93A,840,Number of taxa: 840,#B7AD13,circle,0.9,0.9
NT95A,997,Number of taxa: 997,#B7AD13,circle,0.9,0.9
NT96A,871,Number of taxa: 871,#B7AD13,circle,0.9,0.9
NU00A,842,Number of taxa: 842,#B7AD13,circle,0.9,0.9
NU01A,786,Number of taxa: 786,#B7AD13,circle,0.9,0.9
NU02A,782,Number of taxa: 782,#B7AD13,circle,0.9,0.9
NU03A,810,Number of taxa: 810,#B7AD13,circle,0.9,0.9
NU04A,809,Number of taxa: 809,#B7AD13,circle,0.9,0.9
NU10A,756,Number of taxa: 756,#B7AD13,circle,0.9,0.9
NU11A,986,Number of taxa: 986,#B7AD13,circle,0.9,0.9
NX08A,606,Number of taxa: 606,#BCC812,circle,0.9,0.9
NX29A,511,Number of taxa: 511,#BCC812,circle,0.9,0.9
NX30A,672,Number of taxa: 672,#BCC812,circle,0.9,0.9
NX37A,532,Number of taxa: 532,#BCC812,circle,0.9,0.9
NX40A,940,Number of taxa: 940,#B7AD13,circle,0.9,0.9
NX76A,864,Number of taxa: 864,#B7AD13,circle,0.9,0.9
NX78A,572,Number of taxa: 572,#BCC812,circle,0.9,0.9
NX89A,635,Number of taxa: 635,#BCC812,circle,0.9,0.9
NX98A,671,Number of taxa: 671,#BCC812,circle,0.9,0.9
NY08A,697,Number of taxa: 697,#BCC812,circle,0.9,0.9
NY09A,473,Number of taxa: 473,#C1E311,circle,0.9,0.9
NY11A,594,Number of taxa: 594,#BCC812,circle,0.9,0.9
NY12A,764,Number of taxa: 764,#B7AD13,circle,0.9,0.9
NY16A,765,Number of taxa: 765,#B7AD13,circle,0.9,0.9
NY18A,663,Number of taxa: 663,#BCC812,circle,0.9,0.9
NY20A,584,Number of taxa: 584,#BCC812,circle,0.9,0.9
NY31A,743,Number of taxa: 743,#BCC812,circle,0.9,0.9
NY32A,803,Number of taxa: 803,#B7AD13,circle,0.9,0.9
NY38A,657,Number of taxa: 657,#BCC812,circle,0.9,0.9
NY52A,916,Number of taxa: 916,#B7AD13,circle,0.9,0.9
NY55A,818,Number of taxa: 818,#B7AD13,circle,0.9,0.9
NY59A,571,Number of taxa: 571,#BCC812,circle,0.9,0.9
NY62A,849,Number of taxa: 849,#B7AD13,circle,0.9,0.9
NY69A,588,Number of taxa: 588,#BCC812,circle,0.9,0.9
NY77A,559,Number of taxa: 559,#BCC812,circle,0.9,0.9
NY97A,775,Number of taxa: 775,#B7AD13,circle,0.9,0.9
NZ00A,576,Number of taxa: 576,#BCC812,circle,0.9,0.9
NZ19A,686,Number of taxa: 686,#BCC812,circle,0.9,0.9
NZ25A,1019,Number of taxa: 1019,#B29215,circle,0.9,0.9
NZ28A,850,Number of taxa: 850,#B7AD13,circle,0.9,0.9
NZ32A,744,Number of taxa: 744,#BCC812,circle,0.9,0.9
O07A,557,Number of taxa: 557,#BCC812,circle,0.9,0.9
O08A,490,Number of taxa: 490,#C1E311,circle,0.9,0.9
O10A,378,Number of taxa: 378,#C1E311,circle,0.9,0.9
O11A,455,Number of taxa: 455,#C1E311,circle,0.9,0.9
O20A,592,Number of taxa: 592,#BCC812,circle,0.9,0.9
