gr,freq,shape,colour,opacity,size
L77,5,circle,black,0.8,1
L78,4,circle,black,0.8,1
L79,5,circle,black,0.8,1
L80,5,circle,black,0.8,1
L81,4,circle,black,0.8,1
L82,7,circle,black,0.8,1
L83,4,circle,black,0.8,1
L84,9,circle,black,0.8,1
L85,5,circle,black,0.8,1
L86,5,circle,black,0.8,1
L87,5,circle,black,0.8,1
L88,4,circle,black,0.8,1
L89,7,circle,black,0.8,1
L90,4,circle,black,0.8,1
L92,4,circle,black,0.8,1
L93,6,circle,black,0.8,1
L94,7,circle,black,0.8,1
L95,5,circle,black,0.8,1
L96,3,circle,black,0.8,1
L97,3,circle,black,0.8,1
L98,7,circle,black,0.8,1
L99,9,circle,black,0.8,1
M00,2,circle,black,0.8,1
M02,8,circle,black,0.8,1
M03,7,circle,black,0.8,1
M04,6,circle,black,0.8,1
M05,3,circle,black,0.8,1
M06,9,circle,black,0.8,1
M07,6,circle,black,0.8,1
M08,3,circle,black,0.8,1
M09,8,circle,black,0.8,1
M10,13,circle,black,0.8,1
M11,2,circle,black,0.8,1
M12,5,circle,black,0.8,1
M13,6,circle,black,0.8,1
M14,10,circle,black,0.8,1
M15,10,circle,black,0.8,1
M16,9,circle,black,0.8,1
M17,10,circle,black,0.8,1
M18,5,circle,black,0.8,1
M19,4,circle,black,0.8,1
M20,16,circle,black,0.8,1
M21,7,circle,black,0.8,1
M22,10,circle,black,0.8,1
M23,13,circle,black,0.8,1
M24,8,circle,black,0.8,1
M25,6,circle,black,0.8,1
M26,8,circle,black,0.8,1
M27,6,circle,black,0.8,1
M28,8,circle,black,0.8,1
M29,5,circle,black,0.8,1
M30,15,circle,black,0.8,1
M31,15,circle,black,0.8,1
M32,15,circle,black,0.8,1
M33,8,circle,black,0.8,1
M34,5,circle,black,0.8,1
M35,3,circle,black,0.8,1
M36,6,circle,black,0.8,1
M37,8,circle,black,0.8,1
M38,5,circle,black,0.8,1
M39,7,circle,black,0.8,1
M40,12,circle,black,0.8,1
M41,14,circle,black,0.8,1
M42,8,circle,black,0.8,1
M43,1,circle,black,0.8,1
M44,4,circle,black,0.8,1
M45,1,circle,black,0.8,1
M46,7,circle,black,0.8,1
M47,4,circle,black,0.8,1
M48,5,circle,black,0.8,1
M49,2,circle,black,0.8,1
M50,8,circle,black,0.8,1
M51,9,circle,black,0.8,1
M52,10,circle,black,0.8,1
M53,1,circle,black,0.8,1
M54,3,circle,black,0.8,1
M55,5,circle,black,0.8,1
M56,8,circle,black,0.8,1
M57,14,circle,black,0.8,1
M58,9,circle,black,0.8,1
M59,7,circle,black,0.8,1
M60,8,circle,black,0.8,1
M61,6,circle,black,0.8,1
M62,5,circle,black,0.8,1
M63,7,circle,black,0.8,1
M64,3,circle,black,0.8,1
M65,4,circle,black,0.8,1
M66,8,circle,black,0.8,1
M67,8,circle,black,0.8,1
M68,12,circle,black,0.8,1
M69,9,circle,black,0.8,1
M70,7,circle,black,0.8,1
M71,3,circle,black,0.8,1
M72,2,circle,black,0.8,1
M73,3,circle,black,0.8,1
M74,3,circle,black,0.8,1
M75,6,circle,black,0.8,1
M76,12,circle,black,0.8,1
M77,8,circle,black,0.8,1
M78,10,circle,black,0.8,1
M79,10,circle,black,0.8,1
M80,5,circle,black,0.8,1
M81,4,circle,black,0.8,1
M82,11,circle,black,0.8,1
M83,6,circle,black,0.8,1
M84,11,circle,black,0.8,1
M85,7,circle,black,0.8,1
M86,8,circle,black,0.8,1
M87,7,circle,black,0.8,1
M88,7,circle,black,0.8,1
M89,6,circle,black,0.8,1
M90,5,circle,black,0.8,1
M91,8,circle,black,0.8,1
M92,15,circle,black,0.8,1
M93,6,circle,black,0.8,1
M94,6,circle,black,0.8,1
M95,8,circle,black,0.8,1
M96,11,circle,black,0.8,1
M97,7,circle,black,0.8,1
M98,6,circle,black,0.8,1
M99,13,circle,black,0.8,1
N00,9,circle,black,0.8,1
N01,13,circle,black,0.8,1
N02,6,circle,black,0.8,1
N03,14,circle,black,0.8,1
N04,13,circle,black,0.8,1
N05,11,circle,black,0.8,1
N06,9,circle,black,0.8,1
N07,13,circle,black,0.8,1
N08,13,circle,black,0.8,1
N09,16,circle,black,0.8,1
N10,11,circle,black,0.8,1
N11,7,circle,black,0.8,1
N12,10,circle,black,0.8,1
N13,3,circle,black,0.8,1
N14,4,circle,black,0.8,1
N15,7,circle,black,0.8,1
N16,4,circle,black,0.8,1
N17,8,circle,black,0.8,1
N18,10,circle,black,0.8,1
N19,14,circle,black,0.8,1
N20,7,circle,black,0.8,1
N21,8,circle,black,0.8,1
N22,12,circle,black,0.8,1
N23,9,circle,black,0.8,1
N24,4,circle,black,0.8,1
N25,6,circle,black,0.8,1
N26,10,circle,black,0.8,1
N27,5,circle,black,0.8,1
N28,9,circle,black,0.8,1
N29,15,circle,black,0.8,1
N30,5,circle,black,0.8,1
N31,8,circle,black,0.8,1
N32,9,circle,black,0.8,1
N33,6,circle,black,0.8,1
N34,2,circle,black,0.8,1
N35,4,circle,black,0.8,1
N36,5,circle,black,0.8,1
N37,5,circle,black,0.8,1
N38,8,circle,black,0.8,1
N39,4,circle,black,0.8,1
N40,7,circle,black,0.8,1
N41,6,circle,black,0.8,1
N42,7,circle,black,0.8,1
N43,5,circle,black,0.8,1
N44,6,circle,black,0.8,1
N45,12,circle,black,0.8,1
N46,4,circle,black,0.8,1
N47,2,circle,black,0.8,1
N48,5,circle,black,0.8,1
N49,4,circle,black,0.8,1
N50,11,circle,black,0.8,1
N51,5,circle,black,0.8,1
N52,4,circle,black,0.8,1
N53,8,circle,black,0.8,1
N54,3,circle,black,0.8,1
N55,2,circle,black,0.8,1
N56,7,circle,black,0.8,1
N58,3,circle,black,0.8,1
N59,10,circle,black,0.8,1
N60,4,circle,black,0.8,1
N61,3,circle,black,0.8,1
N62,5,circle,black,0.8,1
N63,6,circle,black,0.8,1
N64,5,circle,black,0.8,1
N66,2,circle,black,0.8,1
N67,1,circle,black,0.8,1
N68,3,circle,black,0.8,1
N69,1,circle,black,0.8,1
N70,1,circle,black,0.8,1
N71,1,circle,black,0.8,1
N72,5,circle,black,0.8,1
N73,1,circle,black,0.8,1
N74,3,circle,black,0.8,1
N75,1,circle,black,0.8,1
N77,1,circle,black,0.8,1
N78,1,circle,black,0.8,1
N79,4,circle,black,0.8,1
N80,4,circle,black,0.8,1
N81,2,circle,black,0.8,1
N82,8,circle,black,0.8,1
N83,3,circle,black,0.8,1
N85,6,circle,black,0.8,1
N86,5,circle,black,0.8,1
N89,9,circle,black,0.8,1
N90,4,circle,black,0.8,1
N91,3,circle,black,0.8,1
N92,2,circle,black,0.8,1
N93,7,circle,black,0.8,1
N94,8,circle,black,0.8,1
