gr,freq,shape,colour,opacity,size
N86,7,circlerad,black,0.8,1
N87,1,circlerad,black,0.8,1
N88,4,circlerad,black,0.8,1
N89,10,circlerad,black,0.8,1
N90,7,circlerad,black,0.8,1
N91,10,circlerad,black,0.8,1
N92,4,circlerad,black,0.8,1
N93,12,circlerad,black,0.8,1
N94,9,circlerad,black,0.8,1
N95,11,circlerad,black,0.8,1
N96,8,circlerad,black,0.8,1
N97,7,circlerad,black,0.8,1
N98,3,circlerad,black,0.8,1
N99,12,circlerad,black,0.8,1
NA90,1,circlerad,black,0.8,1
NA91,4,circlerad,black,0.8,1
NA92,1,circlerad,black,0.8,1
NB00,6,circlerad,black,0.8,1
NB01,7,circlerad,black,0.8,1
NB02,1,circlerad,black,0.8,1
NB03,13,circlerad,black,0.8,1
NB10,7,circlerad,black,0.8,1
NB11,1,circlerad,black,0.8,1
NB12,2,circlerad,black,0.8,1
NB13,9,circlerad,black,0.8,1
NB14,3,circlerad,black,0.8,1
NB20,7,circlerad,black,0.8,1
NB21,4,circlerad,black,0.8,1
NB22,3,circlerad,black,0.8,1
NB23,6,circlerad,black,0.8,1
NB24,6,circlerad,black,0.8,1
NB30,2,circlerad,black,0.8,1
NB31,6,circlerad,black,0.8,1
NB32,12,circlerad,black,0.8,1
NB33,5,circlerad,black,0.8,1
NB34,1,circlerad,black,0.8,1
NB35,4,circlerad,black,0.8,1
NB41,2,circlerad,black,0.8,1
NB42,5,circlerad,black,0.8,1
NB43,15,circlerad,black,0.8,1
NB44,2,circlerad,black,0.8,1
NB45,5,circlerad,black,0.8,1
NB46,3,circlerad,black,0.8,1
NB53,7,circlerad,black,0.8,1
NB54,3,circlerad,black,0.8,1
NB55,5,circlerad,black,0.8,1
NB56,7,circlerad,black,0.8,1
NB90,3,circlerad,black,0.8,1
NB91,2,circlerad,black,0.8,1
NC00,3,circlerad,black,0.8,1
NC01,5,circlerad,black,0.8,1
NC02,15,circlerad,black,0.8,1
NC03,11,circlerad,black,0.8,1
NC10,4,circlerad,black,0.8,1
NC11,3,circlerad,black,0.8,1
NC12,14,circlerad,black,0.8,1
NC13,11,circlerad,black,0.8,1
NC14,14,circlerad,black,0.8,1
NC15,3,circlerad,black,0.8,1
NC16,2,circlerad,black,0.8,1
NC20,6,circlerad,black,0.8,1
NC21,17,circlerad,black,0.8,1
NC22,11,circlerad,black,0.8,1
NC23,13,circlerad,black,0.8,1
NC24,7,circlerad,black,0.8,1
NC25,13,circlerad,black,0.8,1
NC26,1,circlerad,black,0.8,1
NC27,4,circlerad,black,0.8,1
NC30,13,circlerad,black,0.8,1
NC31,5,circlerad,black,0.8,1
NC32,3,circlerad,black,0.8,1
NC33,6,circlerad,black,0.8,1
NC34,2,circlerad,black,0.8,1
NC35,7,circlerad,black,0.8,1
NC36,14,circlerad,black,0.8,1
NC37,1,circlerad,black,0.8,1
NC40,10,circlerad,black,0.8,1
NC41,5,circlerad,black,0.8,1
NC42,5,circlerad,black,0.8,1
NC44,3,circlerad,black,0.8,1
NC45,9,circlerad,black,0.8,1
NC46,12,circlerad,black,0.8,1
NC50,11,circlerad,black,0.8,1
NC51,6,circlerad,black,0.8,1
NC52,3,circlerad,black,0.8,1
NC53,5,circlerad,black,0.8,1
NC54,2,circlerad,black,0.8,1
NC55,7,circlerad,black,0.8,1
NC56,5,circlerad,black,0.8,1
NC60,11,circlerad,black,0.8,1
NC61,3,circlerad,black,0.8,1
NC63,3,circlerad,black,0.8,1
NC64,4,circlerad,black,0.8,1
NC65,7,circlerad,black,0.8,1
NC66,9,circlerad,black,0.8,1
NC70,14,circlerad,black,0.8,1
NC71,3,circlerad,black,0.8,1
NC72,1,circlerad,black,0.8,1
NC73,3,circlerad,black,0.8,1
NC74,4,circlerad,black,0.8,1
NC75,4,circlerad,black,0.8,1
NC76,8,circlerad,black,0.8,1
NC80,13,circlerad,black,0.8,1
NC81,3,circlerad,black,0.8,1
NC82,5,circlerad,black,0.8,1
NC83,6,circlerad,black,0.8,1
NC84,3,circlerad,black,0.8,1
NC85,5,circlerad,black,0.8,1
NC86,7,circlerad,black,0.8,1
NC90,5,circlerad,black,0.8,1
NC91,10,circlerad,black,0.8,1
NC92,1,circlerad,black,0.8,1
NC94,2,circlerad,black,0.8,1
NC95,1,circlerad,black,0.8,1
NC96,7,circlerad,black,0.8,1
ND01,10,circlerad,black,0.8,1
ND02,6,circlerad,black,0.8,1
ND03,2,circlerad,black,0.8,1
ND04,5,circlerad,black,0.8,1
ND05,2,circlerad,black,0.8,1
ND06,8,circlerad,black,0.8,1
ND07,4,circlerad,black,0.8,1
ND12,10,circlerad,black,0.8,1
ND13,14,circlerad,black,0.8,1
ND14,5,circlerad,black,0.8,1
ND15,5,circlerad,black,0.8,1
ND16,10,circlerad,black,0.8,1
ND17,2,circlerad,black,0.8,1
ND19,1,circlerad,black,0.8,1
ND23,12,circlerad,black,0.8,1
ND24,5,circlerad,black,0.8,1
ND25,7,circlerad,black,0.8,1
ND26,7,circlerad,black,0.8,1
